Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,META,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-01,55.77,64.57,55.33,61.36,61.07,835654000,193.37,218.62,166.56,172.58,171.77,647030700,385.45,419.77,328.0,337.45,337.45,305393800,84.14,94.0,83.9,88.87,88.87,1950422000,45.96,48.99,45.85,47.57,45.01,1574765600
2018-08-01,61.96,63.6,60.2,61.59,61.3,685718000,173.93,188.3,170.27,175.73,174.91,548832700,335.87,376.81,310.93,367.68,367.68,213122300,89.2,101.28,88.8,100.64,100.64,1931516000,49.78,57.22,49.33,56.91,53.85,2801275600
2018-09-01,61.13,61.39,57.58,60.35,60.07,718518000,173.5,173.89,158.87,164.46,163.69,500468800,366.47,383.2,335.83,374.13,374.13,170832100,101.32,102.53,93.25,100.15,100.15,1888910000,57.1,57.42,53.83,56.44,53.59,2715888000
2018-10-01,60.65,61.23,50.36,54.53,54.27,1130942000,163.03,165.88,139.03,151.79,151.08,622446300,375.85,386.8,271.21,301.78,301.78,363589800,101.1,101.66,73.82,79.9,79.9,3664416000,56.99,58.37,51.52,54.72,51.95,3158994000
2018-11-01,54.57,55.5,50.11,55.48,55.22,786236000,151.52,154.13,126.85,140.61,139.95,518151700,304.59,332.05,250.0,286.13,286.13,257126400,81.18,89.2,71.0,84.51,84.51,2785800000,54.76,55.59,42.56,44.65,42.39,3845305600
2018-12-01,56.61,56.75,48.88,52.25,52.0,857436000,143.0,147.19,123.02,131.09,130.48,558786200,293.19,298.72,231.23,267.66,267.66,234310000,88.47,88.92,65.35,75.1,75.1,3096254000,46.12,46.24,36.65,39.44,37.57,3595690000
2019-01-01,51.36,56.38,51.12,56.29,56.03,697168000,128.99,171.68,128.56,166.69,165.91,527547900,259.28,358.85,256.58,339.5,339.5,306616400,73.26,86.82,73.05,85.94,85.94,2680034000,38.72,42.25,35.5,41.61,39.65,3312349600
2019-02-01,56.11,57.7,54.68,56.33,56.06,652174000,165.84,172.47,159.59,161.45,160.69,302243200,337.18,371.49,336.5,358.1,358.1,148192100,81.94,83.65,78.34,81.99,81.99,1618738000,41.74,43.97,41.48,43.29,41.25,1890162400
2019-03-01,56.55,61.82,56.51,58.84,58.56,663738000,162.6,174.3,159.28,166.69,165.91,387936100,362.26,379.0,342.47,356.56,356.56,144843100,82.76,91.19,79.33,89.04,89.04,2016644000,43.57,49.42,42.38,47.49,45.44,2603925600
2019-04-01,59.38,64.85,59.15,59.95,59.66,647446000,167.83,198.48,167.28,193.4,192.49,381985300,359.0,384.8,342.27,370.54,370.54,165079400,90.01,97.82,89.94,96.33,96.33,1624784000,47.91,52.12,47.1,50.17,48.01,2024470800
2019-05-01,59.88,59.96,55.17,55.33,55.06,742726000,194.78,196.18,177.16,177.47,176.64,286821500,374.0,385.99,341.39,343.28,343.28,125298300,96.65,98.22,88.64,88.75,88.75,1964288000,52.47,53.83,43.75,43.77,41.88,2957826400
2019-06-01,53.35,56.33,51.35,54.14,53.88,712452000,175.0,198.88,160.84,193.0,192.09,426428600,343.56,375.0,332.65,367.32,367.32,111052000,88.0,96.76,83.6,94.68,94.68,1494930000,43.9,50.39,42.57,49.48,47.53,2060874800
2019-07-01,55.05,63.42,54.77,60.91,60.62,715104000,195.21,208.66,191.93,194.23,193.32,351020900,373.5,384.76,305.81,322.99,322.99,196652500,96.15,101.79,92.47,93.34,93.34,1462976000,50.79,55.34,49.6,53.26,51.16,1895406800
2019-08-01,60.88,61.81,57.14,59.53,59.24,586310000,194.17,198.47,176.66,185.67,184.8,294689500,324.25,328.58,287.2,293.75,293.75,137076700,93.59,94.9,87.18,88.81,88.81,1595424000,53.47,54.51,48.15,52.19,50.13,2724326400
2019-09-01,59.09,62.4,58.19,61.06,60.77,517072000,184.0,193.1,175.66,178.08,177.24,264538500,290.82,301.55,252.28,267.62,267.62,175411300,88.5,92.68,85.46,86.8,86.8,1223458000,51.61,56.6,51.06,55.99,53.99,2170268400
2019-10-01,61.12,64.96,58.16,62.94,62.64,603634000,179.15,198.09,173.09,191.65,190.75,326207200,267.35,308.75,257.01,287.41,287.41,231556400,87.3,89.94,84.25,88.83,88.83,1407210000,56.27,62.44,53.78,62.19,59.97,2433210800
2019-11-01,63.29,66.7,62.99,65.2,64.89,528780000,192.85,203.8,188.54,201.64,200.69,258303900,288.7,316.82,281.14,314.66,314.66,113645900,89.4,91.23,86.14,90.04,90.04,1041524000,62.38,67.0,62.29,66.81,64.42,1793326000
2019-12-01,65.13,68.35,63.85,66.97,66.65,559106000,202.13,208.93,193.17,205.25,204.29,276257100,314.39,338.0,292.02,323.57,323.57,124723600,90.22,95.07,86.75,92.39,92.39,1362992000,66.82,73.49,64.07,73.41,71.0,2388794800
2020-01-01,67.42,75.03,67.32,71.64,71.3,673594000,206.75,224.2,201.06,201.91,200.96,347314600,326.1,359.85,321.2,345.09,345.09,169874000,93.75,102.79,90.77,100.44,100.44,1693966000,74.06,81.96,73.19,77.38,74.84,2934370400
2020-02-01,73.08,76.54,63.41,66.96,66.64,830656000,203.44,218.77,181.82,192.47,191.57,317547300,347.24,392.95,346.28,369.03,369.03,114056000,100.53,109.3,90.56,94.19,94.19,1850202000,76.07,81.81,64.09,68.34,66.1,3019279200
2020-03-01,67.57,70.41,50.44,58.1,57.82,1570716000,194.03,197.24,137.1,166.8,166.02,649467700,373.11,393.52,290.25,375.5,375.5,201979100,95.32,99.82,81.3,97.49,97.49,3276182000,70.57,76.0,53.15,63.57,61.63,6280072400
2020-04-01,56.2,68.01,53.75,67.33,67.01,1124224000,161.62,209.69,150.83,204.71,203.75,541334600,376.05,449.52,357.51,419.85,419.85,225111600,96.65,123.75,94.46,123.7,123.7,2492196000,61.62,73.63,59.22,73.45,71.21,3265299200
2020-05-01,66.2,72.26,64.8,71.68,71.33,725130000,201.6,240.9,198.76,225.09,224.03,509476500,415.1,458.97,397.86,419.73,419.73,135055800,116.84,126.27,112.82,122.12,122.12,1651688000,71.56,81.06,71.46,79.49,77.06,2805936000
2020-06-01,71.29,73.79,67.58,70.9,70.57,814160000,224.59,245.19,207.11,227.07,226.0,548043800,418.83,474.01,404.25,455.04,455.04,117279900,122.4,139.8,121.86,137.94,137.94,1756366000,79.44,93.1,79.3,91.2,88.65,3243375600
2020-07-01,70.96,79.35,70.71,74.4,74.04,822998000,228.5,255.85,226.9,253.67,252.48,517599700,454.0,575.37,454.0,488.88,488.88,232206300,137.9,167.21,137.7,158.23,158.23,2550040000,91.28,106.42,89.14,106.26,103.29,3020283200
2020-08-01,74.55,82.64,73.2,81.48,81.09,614564000,252.65,304.67,247.43,293.2,291.82,574239100,490.86,549.04,466.55,529.56,529.56,116261900,159.03,174.75,153.65,172.55,172.55,1670332000,108.2,131.0,107.89,129.04,125.44,4070061100
2020-09-01,81.61,86.31,70.11,73.28,72.93,836634000,294.71,303.6,244.13,261.9,260.67,499115300,532.6,557.39,458.6,500.03,500.03,118796900,174.48,177.61,143.55,157.44,157.44,2317986000,132.76,137.98,103.1,115.81,112.78,3885245100
2020-10-01,74.18,84.07,71.66,80.81,80.42,854920000,265.35,285.24,254.82,263.11,261.88,454101600,506.03,572.49,472.21,475.74,475.74,154302400,160.4,174.81,150.95,151.81,151.81,2324522000,117.64,125.39,107.72,108.86,106.01,2894666500
2020-11-01,81.18,90.84,80.61,87.72,87.3,631912000,264.6,297.38,257.34,276.97,275.67,356771600,478.87,518.73,463.41,490.7,490.7,91788900,153.09,168.34,147.51,158.4,158.4,1816210000,109.11,121.99,107.32,119.05,115.93,2123077300
2020-12-01,88.33,92.19,84.7,87.63,87.22,608630000,279.16,291.78,264.63,273.16,271.88,363901000,492.34,545.5,491.29,540.73,540.73,77564100,159.43,167.53,153.64,162.85,162.85,1551124000,121.01,138.79,120.01,132.69,129.44,2322189600
2021-01-01,88.0,96.6,84.81,91.37,90.93,791662000,274.78,286.79,244.61,258.33,257.12,452633100,539.0,593.29,485.67,532.39,532.39,139988600,163.5,168.19,154.3,160.31,160.31,1430578000,133.52,145.09,126.38,131.96,128.73,2240262000
2021-02-01,92.23,107.26,92.23,101.1,100.61,678324000,259.52,276.6,254.04,257.62,256.41,317775200,536.79,566.65,518.28,538.85,538.85,61902300,162.12,171.7,151.84,154.65,154.65,1442140000,133.75,137.88,118.39,121.26,118.29,1833855600
2021-03-01,102.4,105.69,99.7,103.13,102.64,756694000,260.82,299.71,253.5,294.53,293.15,497416700,545.57,556.99,492.85,521.66,521.66,90183900,156.39,159.1,144.05,154.7,154.7,1563760000,123.75,128.72,116.21,122.15,119.34,2650418200
2021-04-01,104.61,121.57,104.57,117.68,117.12,702352000,298.4,331.81,296.04,325.08,323.56,421257700,529.93,563.56,499.0,513.47,513.47,111573300,155.9,177.7,155.78,173.37,173.37,1536792000,123.66,137.07,122.49,131.46,128.43,1889857500
2021-05-01,118.25,119.45,109.68,117.84,117.28,603480000,326.17,333.78,298.19,328.73,327.19,353423700,512.65,518.95,478.54,502.81,502.81,66927600,174.24,174.33,156.37,161.15,161.15,1503678000,132.04,134.07,122.25,124.61,121.74,1711934900
2021-06-01,118.72,123.1,116.48,122.09,121.51,544936000,330.15,358.14,323.48,347.71,346.08,344810400,504.01,536.13,482.14,528.21,528.21,78560600,162.18,176.24,158.61,172.01,172.01,1340220000,125.08,137.41,123.13,136.96,134.03,1606590000
